Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
AGNI,AGNI GREEN POWER LTD,INE0LF301013,NSE,SM,AGNI.NS
AGRIHATCH,AGRITECH HATCHERIED AND F,INE442901018,NSE,EQ,AGRIHATCH.NS
AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,NSE,BE,AGRITECH.NS
AGROPHOS,AGRO PHOS INDIA LIMITED,INE740V01019,NSE,BE,AGROPHOS.NS
AGSTRA,AGS TRANSACT TECH LTD,INE583L01014,NSE,BE,AGSTRA.NS
AGUL,A G UNIVERSAL LIMITED,INE0O6N01012,NSE,SM,AGUL.NS
AHCL,ANLON HEALTHCARE LIMITED,INE0Y8W01017,NSE,BE,AHCL.NS
AHIMSA,AHIMSA INDUSTRIES LTD.,INE136T01014,NSE,SM,AHIMSA.NS
AHLADA,AHLADA ENGINEERS LIMITED,INE00PV01013,NSE,BE,AHLADA.NS
AHLEAST,ASIAN HOTELS (EAST) LTD,INE926K01017,NSE,BE,AHLEAST.NS
AHLUCONT,AHLUWALIA CONT IND LTD,INE758C01029,NSE,BE,AHLUCONT.NS
AHLWEST,ASIAN HOTELS (WEST) LTD,INE915K01010,NSE,BE,AHLWEST.NS
AIAENG,AIA ENGINEERING LIMITED,INE212H01026,NSE,BE,AIAENG.NS
AIFL,ASHAPURA INTI FASHION LTD,INE428O01016,NSE,BE,AIFL.NS
AIIL,AUTHUM INVEST & INFRA LTD,INE206F01022,NSE,BE,AIIL.NS
AILIMITED,ABHISHEK INTEGRATIONS LTD,INE0CAJ01017,NSE,SM,AILIMITED.NS
AIMCOPEST,AIMCO PESTICIDES-DEPO,INE008B01013,NSE,BE,AIMCOPEST.NS
AIMTRON,AIMTRON ELECTRONICS LTD,INE0RUV01018,NSE,SM,AIMTRON.NS
AIRAN,AIRAN LIMITED,INE645W01026,NSE,BE,AIRAN.NS
AIROLAM,AIRO LAM LIMITED,INE801L01010,NSE,BE,AIROLAM.NS
AISL,ANI INTEGRATED SERV LTD.,INE635Y01015,NSE,SM,AISL.NS
AJANTPHARM,AJANTPHARM LTD,INE031B01049,NSE,BE,AJANTPHARM.NS
AJAXENGG,AJAX ENGINEERING LIMITED,INE274Y01021,NSE,BE,AJAXENGG.NS
AJMERA,AJMERA REALTY & INF I LTD,INE298G01027,NSE,BE,AJMERA.NS
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01013,NSE,SM,AJOONI.NS
AJOONI,AJOONI BIOTECH LIMITED,INE820Y01021,NSE,BE,AJOONI.NS
AJOONI-RE1,AJOONI BIOTECH LIMITED,INE820Y20021,NSE,BE,AJOONI-RE1.NS
AJRINFRA,AJR INFRA & TOLLING LTD,INE181G01025,NSE,BE,AJRINFRA.NS
AKAIMPEX,AKAI IMPEX LTD.,INE443401018,NSE,EQ,AKAIMPEX.NS
AKANKSHA,AKANKSHA POWER N INFRA L,INE0PCY01014,NSE,SM,AKANKSHA.NS
AKARLAMIN,AKAR LAMINATORS LTD,INE984C01013,NSE,EQ,AKARLAMIN.NS
AKARLAMIN,AKAR LAMINATORS LTD,INE443501015,NSE,BE,AKARLAMIN.NS
AKASH,AKASH INFRA-PROJECTS LTD,INE737W01013,NSE,BE,AKASH.NS
AKG,AKG EXIM LIMITED,INE00Y801016,NSE,BE,AKG.NS
AKGACOUST,AKG ACOUSTICS (I) LTD.,INE442001017,NSE,EQ,AKGACOUST.NS
AKI,AKI INDIA LIMITED,INE642Z01026,NSE,BE,AKI.NS
AKIKO,AKIKO GLOBAL SERVICES L,INE0PMR01017,NSE,SM,AKIKO.NS
AKSHAR,AKSHAR SPINTEX LIMITED,INE256Z01025,NSE,BE,AKSHAR.NS
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,INE542B01011,NSE,BE,AKSHARCHEM.NS
AKSHOPTFBR,AKSH OPTIFIBRE  LTD,INE523B01011,NSE,BE,AKSHOPTFBR.NS
AKUMS,AKUMS DRUGS AND PHARMA L,INE09XN01023,NSE,BE,AKUMS.NS
AKZOINDIA,AKZO NOBEL INDIA LIMITED,INE133A01011,NSE,BE,AKZOINDIA.NS
ALANKIT,ALANKIT LIMITED,INE914E01040,NSE,BE,ALANKIT.NS
ALBERTDAVD,ALBERT DAVID LIMITED,INE155C01010,NSE,BE,ALBERTDAVD.NS
ALBRMORARJ,ALBRIGHT&WILSON CHE LTD.,INE255B01010,NSE,BE,ALBRMORARJ.NS
