Symbol,Name,ISIN,Series,yfinance_symbol,Symbol_NSE,Symbol_BSE,BSE_Code
FGPIND,FGP LTD,INE456101018,EQ,FGPIND.NS,FGPIND,,
FIBERWEB,FIBERWEB INDIA LIMITED,INE296C01020,BE,FIBERWEB.NS,FIBERWEB,FIBERWEB,507910.0
FICOMORGAN,FICOM ORGANICS LTD,INE082701017,EQ,FICOMORGAN.NS,FICOMORGAN,,
FIDEL,FIDEL SOFTECH LIMITED,INE0LQQ01019,SM,FIDEL.NS,FIDEL,,
FIEMIND,FIEM INDUSTRIES LIMITED,INE737H01014,BE,FIEMIND.NS,FIEMIND,FIEMIND,532768.0
FILATEX,FILATEX INDIA LTD,INE816B01035,BE,FILATEX.NS,FILATEX,FILATEX,526227.0
FILATFASH,FILATEX FASHIONS LIMITED,INE185E01021,BE,FILATFASH.NS,FILATFASH,FILATFASH,532022.0
FINCABLES,FINOLEX CABLES LTD-DEP SE,INE235A01022,BE,FINCABLES.NS,FINCABLES,FINCABLES,500144.0
FINEORG,FINE ORGANIC IND. LTD.,INE686Y01026,BE,FINEORG.NS,FINEORG,FINEORG,541557.0
FINIETF,ICICIPRAMC-ICICIFIN,INF109KC17L8,EQ,FINIETF.NS,FINIETF,FINIETF,543677.0
FINKURVE,FINKURVE FINANCIAL SERV L,INE734I01027,BE,FINKURVE.NS,FINKURVE,FINKURVE,508954.0
FINOPB,FINO PAYMENTS BANK LTD,INE02NC01014,BE,FINOPB.NS,FINOPB,FINOPB,543386.0
FINPIPE,FINOLEX IND LTD DEPO SETT,INE183A01024,BE,FINPIPE.NS,FINPIPE,FINPIPE,500940.0
FIRSTCRY,BRAINBEES SOLUTIONS LTD,INE02RE01045,BE,FIRSTCRY.NS,FIRSTCRY,FIRSTCRY,544226.0
FISCHER,FISCHER MEDICAL VENTURE L,INE771F01041,BE,FISCHER.NS,FISCHER,FISCHER,524743.0
FISHFALCON,FISHING FALCONS LTD,INE084301014,EQ,FISHFALCON.NS,FISHFALCON,,
FIVECORE,FIVE CORE ELECTRONICS LTD,INE574Z01013,SM,FIVECORE.NS,FIVECORE,,
FIVESTAR,FIVE-STAR BUS FIN LTD,INE128S01021,BE,FIVESTAR.NS,FIVESTAR,FIVESTAR,543663.0
FLAIR,FLAIR WRITING INDUST LTD,INE00Y201027,BE,FLAIR.NS,FLAIR,FLAIR,544030.0
FLATPROD,FLATPRODEQUIP-ROLL SETT,INE515A01019,BE,FLATPROD.NS,FLATPROD,COCKERILL,500147.0
FLEXITUFF,FLEXITUFF VENTURES INT L,INE060J01017,BE,FLEXITUFF.NS,FLEXITUFF,FLEXITUFF,533638.0
FLFL,FUT LIFESTYLE FASH LTD,INE452O01016,BE,FLFL.NS,FLFL,FLFL,536507.0
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,INE09N301011,BE,FLUOROCHEM.NS,FLUOROCHEM,FLUOROCHEM,542812.0
FLYSBS,FLYSBS AVIATION LIMITED,INE0VCK01011,SM,FLYSBS.NS,FLYSBS,,
FMCGIETF,ICICIPRAMC - ICICIFMCG,INF109KC19V3,EQ,FMCGIETF.NS,FMCGIETF,FMCGIETF,543326.0
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,INE529A01010,BE,FMGOETZE.NS,FMGOETZE,FMGOETZE,505744.0
FMNL,FUTURE MKT NETWORKS LTD,INE360L01017,BE,FMNL.NS,FMNL,FMNL,533296.0
FOCE,FOCE INDIA LIMITED,INE0I7D01019,SM,FOCE.NS,FOCE,,
FOCUS,FOCUS LIGHTG & FIXTRS LTD,INE593W01028,BE,FOCUS.NS,FOCUS,,
FOCUS,FOCUS LIGHTG & FIXTRS LTD,INE593W01010,SM,FOCUS.NS,FOCUS,,
FONEBOX,FONEBOX RETAIL LIMITED,INE0Q4701019,SM,FONEBOX.NS,FONEBOX,,
FOODSIN,FOODS & INNS LIMITED,INE976E01023,BE,FOODSIN.NS,FOODSIN,FOODSIN,507552.0
FORBESGOK,FORBES GOKAK LTD,INE518A01013,BE,FORBESGOK.NS,FORBESGOK,FORBESCO,502865.0
FORCAS,FORCAS STUDIO LIMITED,INE0U2501017,SM,FORCAS.NS,FORCAS,,
FORCEMOT,FORCE MOTORS LIMITED,INE451A01017,BE,FORCEMOT.NS,FORCEMOT,FORCEMOT,500033.0
FORGEAUTO,FORGE AUTO INTERNATION L,INE0YKW01013,SM,FORGEAUTO.NS,FORGEAUTO,,
FORTIS,FORTIS HEALTHCARE LTD,INE061F01013,BE,FORTIS.NS,FORTIS,FORTIS,532843.0
FORTISFIN,FORTIS FIN SERV LTD,INE991C01018,BE,FORTISFIN.NS,FORTISFIN,,
FOSECOIND,FOSECO INDIA LTD,INE519A01011,BE,FOSECOIND.NS,FOSECOIND,FOSECOIND,500150.0
FOURTHDIM,FOURTH DIMEN. SOLUT. LTD,INE382T01014,SM,FOURTHDIM.NS,FOURTHDIM,,
FRESHARA,FRESHARA AGRO EXPORTS LTD,INE0SFW01015,SM,FRESHARA.NS,FRESHARA,,
FRETAIL,FUTURE RETAIL LIMITED,INE752P01024,BE,FRETAIL.NS,FRETAIL,,
FROG,FROG CELLSAT LIMITED,INE385O01018,SM,FROG.NS,FROG,,
FSC,FUTURE SUPP CHAIN SOL LTD,INE935Q01015,BE,FSC.NS,FSC,FSC,540798.0
FSL,FIRSTSOURCE SOLU. LTD.,INE684F01012,BE,FSL.NS,FSL,FSL,532809.0
FULFORD,FULFORD (I) LTD,INE521A01017,BE,FULFORD.NS,FULFORD,,
FUSION,FUSION FINANCE LIMITED,INE139R01012,BE,FUSION.NS,FUSION,FUSION,543652.0
GABRIEL,GABRIEL INDIA LTD,INE524A01029,BE,GABRIEL.NS,GABRIEL,GABRIEL,505714.0
GAEL,GUJARAT AMB EXP LTD,INE036B01030,BE,GAEL.NS,GAEL,GAEL,524226.0
GAIL,GAIL (INDIA) LTD,INE129A01019,BE,GAIL.NS,GAIL,GAIL,532155.0
GAJANAND,GAJANAND INTERNATIONAL L,INE0QTE01018,SM,GAJANAND.NS,GAJANAND,,
GALAPREC,GALA PRECISION ENG LTD,INE0RE001014,BE,GALAPREC.NS,GALAPREC,GALAPREC,544244.0
GALAXYSURF,GALAXY SURFACTANTS LTD,INE600K01018,BE,GALAXYSURF.NS,GALAXYSURF,GALAXYSURF,540935.0
GALLANTT,GALLANTT ISPAT LIMITED,INE297H01019,BE,GALLANTT.NS,GALLANTT,GALLANTT,532726.0
GALLISPAT,GALLANTT ISPAT LTD,INE528K01029,BE,GALLISPAT.NS,GALLISPAT,,
GALPOWTEL,GALADAPOWER&TELE-ROLL SET,INE255C01018,BE,GALPOWTEL.NS,GALPOWTEL,,
GAMMONIND,GAMMON INDIA LTD,INE259B01020,BE,GAMMONIND.NS,GAMMONIND,,
GANDHAR,GANDHAR OIL REFINE IND L,INE717W01049,BE,GANDHAR.NS,GANDHAR,GANDHAR,544029.0
GANDHITUBE,GANDHI SPL. TUBES LTD,INE524B01027,BE,GANDHITUBE.NS,GANDHITUBE,GANDHITUBE,513108.0
GANECOS,GANESHA ECOSPHERE LIMITED,INE845D01014,BE,GANECOS.NS,GANECOS,GANECOS,514167.0
GANESHANHY,GANESH ANHYDRIDE LTD-DEPO,INE418A01016,BE,GANESHANHY.NS,GANESHANHY,,
GANESHBE,GANESH BENZOPLAST LIMITED,INE388A01029,BE,GANESHBE.NS,GANESHBE,GANESHBE,500153.0
GANESHBENZ,GANESH BENZOPLAST LTD.,INE388A01011,BE,GANESHBENZ.NS,GANESHBENZ,,
GANESHCP,GANESH CONSUMER PRODUCT L,INE652V01016,BE,GANESHCP.NS,GANESHCP,GANESHCP,544528.0
GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,BE,GANESHHOU.NS,GANESHHOU,GANESHHOU,526367.0
GANESHIN,GANESH INFRAWORLD LIMITED,INE0TVT01024,SM,GANESHIN.NS,GANESHIN,,
GANGABATH,GANGA BATH FITTINGS LTD,INE0ZI101018,SM,GANGABATH.NS,GANGABATH,,
GANGAFORGE,GANGA FORGING LIMITED,INE691Z01023,BE,GANGAFORGE.NS,GANGAFORGE,,
GANGAFORGE,GANGA FORGING LIMITED,INE691Z01015,SM,GANGAFORGE.NS,GANGAFORGE,,
GANGESSECU,GANGES SECURITIES LIMITED,INE335W01016,BE,GANGESSECU.NS,GANGESSECU,GANGESSECU,540647.0
GANGOTEX,GANGOTRI TEXTILES LTD,INE548101018,EQ,GANGOTEX.NS,GANGOTEX,,
GANGOTEX,GANGOTRITEXTILES-ROLLSETT,INE670B01010,BE,GANGOTEX.NS,GANGOTEX,,
GANGOTRI,GANGOTRI TEXTILES LTD.,INE670B01028,BE,GANGOTRI.NS,GANGOTRI,,
GARDENSILK,GARDEN SILK MILLS LTD.,INE526A01016,BE,GARDENSILK.NS,GARDENSILK,,
GARFIBRES,GARWARE TECH FIBRES LTD,INE276A01018,BE,GARFIBRES.NS,GARFIBRES,GARFIBRES,509557.0
GARUDA,GARUDA CONSTRUCT N ENG L,INE0JVO01026,BE,GARUDA.NS,GARUDA,GARUDA,544271.0
