symbol,company,isin,exchange,sector,series
ASIANENE,ASIAN ENERGY SERVICES LTD,INE276G01015,NSE,Unknown,BE
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,INE363A01022,NSE,Unknown,BE
ASIANPAINT,ASIAN PAINTS LIMITED,INE021A01026,NSE,Unknown,BE
ASIANTILES,ASIAN GRANITO IND. LTD.,INE022I01019,NSE,Unknown,BE
ASIL,AMIT SPINNING IND. LTD,INE988A01026,NSE,Unknown,BE
ASILIND,ASIL INDUSTRIES LTD.,INE012901018,NSE,Unknown,EQ
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,INE491J01022,NSE,Unknown,BE
ASLIND,ASL INDUSTRIES LIMITED,INE617I01024,NSE,Unknown,SM
ASMS,BARTRONICS INDIA LIMITED,INE855F01042,NSE,Unknown,BE
ASOCALCHOL,ASSOCIATED ALCOHOL & BREW,INE013401018,NSE,Unknown,EQ
ASPINWALL,ASPINWALL & CO LTD,INE991I01015,NSE,Unknown,BE
ASPIRE,ASPIRE & INNOVATIVE ADV L,INE0S7801010,NSE,Unknown,SM
ASSAMFRONT,AFT INDUSTRIES LTD.,INE417A01018,NSE,Unknown,BE
ASTEC,ASTEC LIFESCIENCES LTD,INE563J01010,NSE,Unknown,BE
ASTERDM,ASTER DM HEALTHCARE LTD.,INE914M01019,NSE,Unknown,BE
ASTRAL,ASTRAL LIMITED,INE006I01046,NSE,Unknown,BE
ASTRAMICRO,ASTRA MICROWAVE LTD,INE386C01029,NSE,Unknown,BE
ASTRAZEN,ASTRAZENECA PHARMA IND LT,INE203A01020,NSE,Unknown,BE
ASTRON,ASTRON PAPER BORD MIL LTD,INE646X01014,NSE,Unknown,BE
ATALREAL,ATAL REALTECH LIMITED,INE0ALR01011,NSE,Unknown,SM
ATALREAL,ATAL REALTECH LIMITED,INE0ALR01029,NSE,Unknown,BE
ATAM,ATAM VALVES LIMITED,INE09KD01013,NSE,Unknown,BE
ATASHIND,ATASH INDUSTRIES LTD,INE014001015,NSE,Unknown,EQ
ATCENERGY,ATC ENERGIES SYSTEM LTD,INE0V0Q01019,NSE,Unknown,SM
ATCOM,ATCOM TECHNOLOGIES LTD,INE834A01014,NSE,Unknown,BE
ATGL,ADANI TOTAL GAS LIMITED,INE399L01023,NSE,Unknown,BE
ATHERENERG,ATHER ENERGY LIMITED,INE0LEZ01016,NSE,Unknown,BE
ATL,ALLCARGO TERMINALS LTD,INE0NN701020,NSE,Unknown,BE
ATLANTAA,ATLANTAA LIMITED,INE285H01022,NSE,Unknown,BE
